GeographyCode,DateCode,Measurement,Units,Value,Variable
S92000003,2020-03-17,Count,Calls - NHS24 111,6977,Calls - NHS24 111
S92000003,2020-03-18,Count,Calls - NHS24 111,5568,Calls - NHS24 111
S92000003,2020-03-19,Count,Calls - NHS24 111,4774,Calls - NHS24 111
S92000003,2020-03-20,Count,Calls - NHS24 111,4789,Calls - NHS24 111
S92000003,2020-03-21,Count,Calls - NHS24 111,11620,Calls - NHS24 111
S92000003,2020-03-22,Count,Calls - NHS24 111,10824,Calls - NHS24 111
S92000003,2020-03-23,Count,Calls - NHS24 111,11904,Calls - NHS24 111
S92000003,2020-03-24,Count,Calls - NHS24 111,8573,Calls - NHS24 111
S92000003,2020-03-25,Count,Calls - NHS24 111,8520,Calls - NHS24 111
S92000003,2020-03-26,Count,Calls - NHS24 111,7803,Calls - NHS24 111
S92000003,2020-03-27,Count,Calls - NHS24 111,7401,Calls - NHS24 111
S92000003,2020-03-28,Count,Calls - NHS24 111,9001,Calls - NHS24 111
S92000003,2020-03-29,Count,Calls - NHS24 111,7534,Calls - NHS24 111
S92000003,2020-03-30,Count,Calls - NHS24 111,7018,Calls - NHS24 111
S92000003,2020-03-31,Count,Calls - NHS24 111,5343,Calls - NHS24 111
S92000003,2020-04-01,Count,Calls - NHS24 111,5333,Calls - NHS24 111
S92000003,2020-04-02,Count,Calls - NHS24 111,4609,Calls - NHS24 111
S92000003,2020-04-03,Count,Calls - NHS24 111,4534,Calls - NHS24 111
S92000003,2020-04-04,Count,Calls - NHS24 111,7682,Calls - NHS24 111
S92000003,2020-04-05,Count,Calls - NHS24 111,6865,Calls - NHS24 111
S92000003,2020-04-06,Count,Calls - NHS24 111,5310,Calls - NHS24 111
S92000003,2020-04-07,Count,Calls - NHS24 111,4428,Calls - NHS24 111
S92000003,2020-04-08,Count,Calls - NHS24 111,4215,Calls - NHS24 111
S92000003,2020-04-09,Count,Calls - NHS24 111,4057,Calls - NHS24 111
S92000003,2020-04-10,Count,Calls - NHS24 111,3927,Calls - NHS24 111
S92000003,2020-04-11,Count,Calls - NHS24 111,7743,Calls - NHS24 111
S92000003,2020-04-12,Count,Calls - NHS24 111,7040,Calls - NHS24 111
S92000003,2020-04-13,Count,Calls - NHS24 111,3602,Calls - NHS24 111
S92000003,2020-04-14,Count,Calls - NHS24 111,3826,Calls - NHS24 111
S92000003,2020-04-15,Count,Calls - NHS24 111,3400,Calls - NHS24 111
S92000003,2020-04-16,Count,Calls - NHS24 111,3413,Calls - NHS24 111
S92000003,2020-04-17,Count,Calls - NHS24 111,3499,Calls - NHS24 111
S92000003,2020-04-18,Count,Calls - NHS24 111,7415,Calls - NHS24 111
S92000003,2020-04-19,Count,Calls - NHS24 111,6616,Calls - NHS24 111
S92000003,2020-04-20,Count,Calls - NHS24 111,3555,Calls - NHS24 111
S92000003,2020-04-21,Count,Calls - NHS24 111,3005,Calls - NHS24 111
S92000003,2020-04-22,Count,Calls - NHS24 111,3061,Calls - NHS24 111
S92000003,2020-04-23,Count,Calls - NHS24 111,3009,Calls - NHS24 111
S92000003,2020-03-17,Count,Calls - Coronavirus helpline,6772,Calls - Coronavirus helpline
S92000003,2020-03-18,Count,Calls - Coronavirus helpline,4930,Calls - Coronavirus helpline
S92000003,2020-03-19,Count,Calls - Coronavirus helpline,3271,Calls - Coronavirus helpline
S92000003,2020-03-20,Count,Calls - Coronavirus helpline,2693,Calls - Coronavirus helpline
S92000003,2020-03-21,Count,Calls - Coronavirus helpline,1304,Calls - Coronavirus helpline
S92000003,2020-03-22,Count,Calls - Coronavirus helpline,1824,Calls - Coronavirus helpline
S92000003,2020-03-23,Count,Calls - Coronavirus helpline,6895,Calls - Coronavirus helpline
S92000003,2020-03-24,Count,Calls - Coronavirus helpline,3959,Calls - Coronavirus helpline
S92000003,2020-03-25,Count,Calls - Coronavirus helpline,3030,Calls - Coronavirus helpline
